file,ne1,type1,cnt-1,ne2,type2,cnt-2,ne3,type3,cnt-3,ne4,type4,cnt-4,ne5,type5,cnt-5,ne6,type6,cnt-6,ne7,type7,cnt-7,ne8,type8,cnt-8,ne9,type9,cnt-9,ne10,type10,cnt-10,ne11,type11,cnt-11,ne12,type12,cnt-12,ne13,type13,cnt-13,ne14,type14,cnt-14,ne15,type15,cnt-15,ne16,type16,cnt-16,ne17,type17,cnt-17,ne18,type18,cnt-18,ne19,type19,cnt-19,ne20,type20,cnt-20
CTX192000036,1930,Year,1,MINISTERSTVO ŠKOLSTVÍ A NÁRODNÍ OSVĚTY,Organization/Society,1,36,Number expression (General),1,01940,Number expression (General),1,123.8,Number expression (General),1,1120,Number expression (General),1,1420,Number expression (General),1,CLardow,Settlement name (City/Town),1,9,Number expression (General),1,6,Number expression (General),1,V . z .,Complex personal names,1,6 / 20,Cardinal number,1,K 2,Measure unit,1,80,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX192000055,7,Itemizer (1.),1,XtdlAAA,"Directives, norms",1,4,Itemizer (1.),1,123456709,Phone/Fax number,1,K,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192000079,Prag,Settlement name (City/Town),2,cm,Measure unit,2,mm,Measure unit,2,dkg,Measure unit,2,Deutsche Abte ilung,Cultural artifact (Book/Painting),1,238,Volu-metric number,1,1320,Year,1,Karl Karajtat,Complex personal names,1,Museunskus t »s,Cult/Educational institution,1,Freund Huge Munk,Complex personal names,1,Institute,Cult/Educational institution,1,20 . Mai 1320,Complex time expressions,1,Landeskenseruater,Cult/Educational institution,1,Archeologi - schen Instituts,Cult/Educational institution,1,25.Mai,Number expression (General),1,1920,Year,1,17,Cardinal number,1,1,Cardinal number,1,kg,Measure unit,1,2,Itemizer (1.),1
CTX192000079A,0,Number expression (General),2,STATNÍ ARCHAEOLOGICKÝ ÚSTAV PRAHA,Cult/Educational institution,1,STRAHOVSKÝ KLÁŠTER,Cult/Educational institution,1,4420 - 0,Number expression (General),1,4,Cardinal number,1,0 /,Cardinal number,1,19,Year,1,DrolOkOlL MINISTERSTVO ŠKOLSTVÍ A NÁRODNÍ OSVĚTY č .34 .,"Directives, norms",1,1920,Year,1,20 8,Number expression (General),1,Odbor Oddělení,Organization/Society,1,19,Itemizer (1.),1,2,Number expression (General),1,...21 J . 5,Number expression (General),1,6,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0
CTX192000122,7,Number expression (General),2,2,Cardinal number,2,STÁTNÍ ARCHAEOLOOICKÝ ÚSTAV 1,Cult/Educational institution,1,930,Number expression (General),1,3,Cardinal number,1,2,Itemizer (1.),1,Bohušovicích n / Ohří,Settlement name (City/Town),1,14 . září 1920,Complex time expressions,1,Ředitelství Státního archeologického ústavu v Praze,Organization/Society,1,26 . července t . r,Complex time expressions,1,90,Itemizer (1.),1,1869,Year,1,Fr . Brůži,Complex personal names,1,92,Number expression (General),1,Bohušovicích,Settlement name (City/Town),1,22 120,Cardinal number,1,1420,Cardinal number,1,1,Cardinal number,1,YH,Measure unit,1,1,Number expression (General),1
CTX192000138,Hm,Measure unit,1,Kowlq,Surname,1,1,Itemizer (1.),1,01,Hour,1,MINISTERSTVO ŠKOLSTVÍ Ä NÁRODNÍ OSVĚTY,Organization/Society,1,55966,Number expression (General),1,PRAZE,Settlement name (City/Town),1,191,Cardinal number,1,Ing.Jogo ľu S r b c - v i,Complex personal names,1,Libušíne,Settlement name (City/Town),1,Schol lorův,Surname,1,11,Volu-metric number,1,prof.Lad .,Complex personal names,1,5,Cardinal number,1,Libulína,Settlement name (City/Town),1,73,Number expression (General),1,1,Number expression (General),1,11,Cardinal number,1,Státnímu archaeologickému ústavu v Praze,Cult/Educational institution,1,Strahov,Urban geographical name (Street/Square),1
CTX192000152,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,5 / io 1920,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192000160,9,Number expression (General),1,4,Number expression (General),1,22,Number expression (General),1,007 - 00000,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192000177,TATII R C Íl y - OL 0 ICK U S T 4 V V K 1 . ' ’ n t íl 3,Cultural artifact (Book/Painting),1,Bělského,Settlement name (City/Town),1,BĚLÉ u Bezděze,Settlement name (City/Town),1,26 . X . 20,Complex time expressions,1,500,Cardinal number,1,K,Measure unit,1,Hrádku,Settlement name (City/Town),1,Skalska,Settlement name (City/Town),1,Buchtela,Surname,1,Praze,Settlement name (City/Town),1,7 - vstaa 1921,Complex time expressions,1,Ústavu,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192000199,1921,Year,1,779,Number expression (General),1,7,Number expression (General),1,STATNI ARCHAEOLOGICKY USTAV V PRAZE,"Directives, norms",1,1,Number expression (General),1,21922,Number expression (General),1,44 . 4.4 ! 1927,Complex time expressions,1,8 . . . .,Complex time expressions,1,Náprstkova .,Complex Address/Number/Time,1,Bubenči,Settlement name (City/Town),1,1,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192000231,1920,Year,2,B . Dubský,Complex personal names,2,1,Itemizer (1.),2,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,1921,Year,1,Praze,Settlement name (City/Town),1,27 . dubna 1921,Complex time expressions,1,P.B.Strakonitz G . B .,Complex personal names,1,231 / 20,Number expression (General),1,29.12 . 1920,Complex time expressions,1,Podsrp,Settlement name (City/Town),1,Strakonitz,Settlement name (City/Town),1,Hradec”,Settlement name (City/Town),1,Nemetitz,Settlement name (City/Town),1,Wolin,Settlement name (City/Town),1,2,Itemizer (1.),1,Pscheschtowitz,Settlement name (City/Town),1,,,0,,,0,,,0
CTX192000251,41,Volu-metric number,1,1921,Year,1,4020,Number expression (General),1,4,Number expression (General),1,2,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192100026,Prahy,Settlement name (City/Town),2,14,Number expression (General),1,Velké Prahy,Geographical name (General),1,80,Cardinal number,1,140,Cardinal number,1,cm,Measure unit,1,St . Boleslavi,Settlement name (City/Town),1,Stavebnímu referátu hl . města Prahy,Organization/Society,1,1,Itemizer (1.),1,Venkova”,Periodical name (Newspaper/Magazine),1,Velké Pra Prapřišlo,Hydronym (Bodies of water),1,Staré Boleslavi,Settlement name (City/Town),1,Pra,Settlement name (City/Town),1,P . T .,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0
